ds,Country,y,YoY_Change,Fiscal_Balance,Current_Account_Balance,Inflation
1991-01-01,South Africa,-1.0183080152,-0.7005248120999998,-3.6079710552,1.1777817939,15.5999992138
1992-01-01,South Africa,-2.1370417156,-1.1187337004000002,-6.6196861861,1.5041977297,13.6999924124
1993-01-01,South Africa,1.2336134007,3.3706551163,-6.1534779142,2.1298514781,9.900004748
1994-01-01,South Africa,3.2340992466,2.0004858459,-5.2495307574,0.0116153653,8.8000040821
1995-01-01,South Africa,3.1156957193,-0.1184035272999999,-4.6675447551,-1.6502463056,8.6999968421
1996-01-01,South Africa,4.3066962106,1.1910004913,-4.4650433521,-1.1512183756,7.3000109015
1997-01-01,South Africa,2.6467643194,-1.6599318912000005,-3.9441190587,-1.4919866421,8.5999971853
1998-01-01,South Africa,0.517382743,-2.1293815764,-2.6362156246,-1.7644903722,7.1600020636
1999-01-01,South Africa,2.3581285988,1.8407458558,-2.0126100228,-0.51076402,6.9399938955
2000-01-01,South Africa,4.1545885216,1.7964599228,-1.971437882,-0.1292635556,7.7
2001-01-01,South Africa,2.7354231498,-1.4191653718,-1.4460096842,0.2812725795,5.8
2002-01-01,South Africa,3.6678376111,0.9324144613,-1.7625329903,0.828485277,9.1
2003-01-01,South Africa,2.9490744247,-0.7187631863999999,-2.272240277,-0.990075988,5.8
2004-01-01,South Africa,4.5545434037,1.6054689790000003,-1.3202431159,-3.0346088705,1.3735274467
2005-01-01,South Africa,5.2770921799,0.7225487762,-0.348225196,-3.4686286266,3.4
2006-01-01,South Africa,5.6037661275,0.3266739475999998,0.5770650191,-4.4772751984,4.6
2007-01-01,South Africa,5.3604651396,-0.2433009879000005,0.8898716411,-5.3834032867,7.2
2008-01-01,South Africa,3.1910516451,-2.1694134945,0.3474577805,-5.5368725948,11.5
2009-01-01,South Africa,-1.5381008639,-4.729152509,-4.5714789362,-2.728341808,7.264562145
2010-01-01,South Africa,3.0397770628,4.577877926699999,-4.25796017,-1.5009053831,4.063538973
2011-01-01,South Africa,3.2841668017,0.2443897389000002,-3.5750905502,-2.2178764926,5.0171577328
2012-01-01,South Africa,2.2133536521,-1.0708131496000002,-4.5163926851,-5.1308111125,5.723943662
2013-01-01,South Africa,2.485185837,0.2718321849,-4.1954176812,-5.7865065225,5.7764041351
2014-01-01,South Africa,1.8470084388,-0.6381773981999999,-4.0053236819,-5.070914652,6.1360201511
2015-01-01,South Africa,1.2795382582,-0.5674701806000002,-4.7138398352,-4.5930551281,4.509208278
2016-01-01,South Africa,0.5653629365,-0.7141753216999999,-3.9589273988,-2.7857293093,6.5946044146
2017-01-01,South Africa,1.2615851301,0.6962221936,-3.9681796298,-2.3929851429,5.2810822326
2018-01-01,South Africa,0.6963713115,-0.5652138186000001,-4.00000391,-3.1551087676,4.8698771624
2019-01-01,South Africa,1.7075967014,1.0112253899,-4.194928932,-3.1622842225,5.3235105182
2020-01-01,South Africa,1.9846617353,0.2770650339,-4.3262296446,-3.4713978128,5.5114309652
