ds,Country,y,YoY_Change
2003-01-01,South Africa,2.9490744247,-0.7187631863999999
2004-01-01,South Africa,4.5545434037,1.6054689790000003
2005-01-01,South Africa,5.2770921799,0.7225487762
2006-01-01,South Africa,5.6037661275,0.3266739475999998
2007-01-01,South Africa,5.3604651396,-0.24330098790000054
2008-01-01,South Africa,3.1910516451,-2.1694134944999997
2009-01-01,South Africa,-1.5381008639,-4.729152509
2010-01-01,South Africa,3.0397770628,4.577877926699999
2011-01-01,South Africa,3.2841668017,0.24438973890000026
2012-01-01,South Africa,2.2133536521,-1.0708131496000002
2013-01-01,South Africa,2.485185837,0.27183218490000005
2014-01-01,South Africa,1.8470084388,-0.6381773981999999
2015-01-01,South Africa,1.2795382582,-0.5674701806000002
2016-01-01,South Africa,0.5653629365,-0.7141753216999999
2017-01-01,South Africa,1.2615851301,0.6962221936
2018-01-01,South Africa,0.6963713115,-0.5652138186000001
2019-01-01,South Africa,1.7075967014,1.0112253898999999
2020-01-01,South Africa,1.9846617353,0.27706503390000004
