Country and Regions,Country and Regions Name,Country and Regions - RegionId,Indicators,Indicators Name,Scale,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
KEN,Kenya,KE,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,2029.59762485866,1761.81265542968,1607.71998571729,1496.45043759156,1624.82048578109,1553.05773455614,1869.87310254719,1701.66215928773,1863.96650720399,1942.39883339409,2233.73540244733,2199.80441982122,2150.6791487671,2326.12027661449,2644.48195023782,2967.08134194572,3019.49118575013,2973.73688529894,2871.89460414434,2731.08008395164,2816.81986726704,2866.11971681768,3104.39673019386,3557.20008957923,4239.71374491342,5235.23031298518,5935.97840987515,7004.91469456176,8138.88539287878,7416.38107348831,8661.75313281938,9072.84105590683,11205.4236658888,10978.2442493227,11243.1377615745,10620.4565734208,10275.4394234669,10405.0910523078,11663.6991104748,12726.2405516043,13600.2643506813
KEN,Kenya,KE,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,2838.20225627646,2318.87261674496,1847.59620226509,1523.49472260827,1709.46100638967,1615.13135874295,1856.31436548192,2107.63013157495,2314.74438077207,2539.31218860129,2679.08949674446,2302.10230515597,2143.04338109309,2050.9540303407,2419.99193585796,3502.6113265072,3474.8407509424,3783.54760090786,3820.72388248819,3403.02554618336,3839.73012573729,4406.80466320626,3998.57777921271,3558.81743410563,5503.77310198257,-6940.91439473129,8329.12683814583,10218.8829208467,12529.0349549884,11414.1051250665,13427.9903943158,16287.4615372842,17915.5463709288,18296.3112724247,20278.6751685705,17678.227158739,16474.5223113096,19224.2760334461,21447.4816935159,22185.8616182523,23190.6315618501
KEN,Kenya,KE,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,57.5710045076,56.5237735523,58.00264343,56.7191232848,57.2789261223,53.3351784239,54.8450902248,57.0165969431,58.4146637282,59.2355573964,57.166370569,56.4088419654,60.6462093722,57.1790153423,59.3242497035,64.2131279874,88.8803762712,90.0031626089,92.3496693814,89.7436959754,90.5616740396,93.072383945,91.6343259567,89.6306128855,90.7683821606,92.182339246,90.6279368801,89.5998180985,92.4964980519,91.4657602365,91.0248472965,95.5897792418,93.195897174,93.1767282883,92.2723377159,89.5228103353,91.6211195276,94.6433034739,94.4192145086,93.499350032,93.1449887849
KEN,Kenya,KE,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,14.3658487884,13.4926206242,13.0395101804,13.1069096367,12.350221359,12.3448072102,12.8709524715,13.1055321904,13.1339179689,12.8769310637,13.2264014071,11.9820916759,11.4567842177,11.4422077012,11.5899262334,11.3324329532,15.6706822928,15.8618353181,16.9398520166,15.993253151,15.3345896853,15.9748385967,17.1363025296,18.1312662322,17.8600906695,17.3790053515,14.3547850627,14.6295870196,15.9314690662,15.2144716883,14.1566796092,14.1775678854,11.5478365479,14.1394263566,13.8910227102,14.239848304,13.5735825899,13.9494067975,14.3437273461,14.2187253108,14.1666243405
KEN,Kenya,KE,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,43.2051557193,43.0311529281,44.9631332496,43.612213648,44.9287047634,40.9903712137,41.9741377533,43.9110647528,45.2807457594,46.3586263327,43.9399691619,44.4267502895,49.1894251545,45.7368076411,47.7343234701,52.8806950342,73.2096939783,74.1413272908,75.4098173647,73.7504428245,75.2270843543,77.0975453483,74.4980234271,71.4993466533,72.9082914912,74.8033338944,76.2731518175,74.9702310789,76.5650289857,76.2512885482,76.8681676873,81.4122113565,81.6480606261,79.0373019317,78.3813150057,75.2829620313,78.0475369378,80.6938966763,80.0754871625,79.2806247212,78.9783644444
KEN,Kenya,KE,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,21.2259451199,20.1920815591,15.478120276,14.8235035319,14.7375064155,18.1103933049,15.2872465229,17.1404866825,18.1758029621,17.7329908927,17.1439011401,14.9820115291,12.3401576367,12.9749025757,14.7547403278,16.6591858171,15.1243289416,15.07244872,17.2263647362,15.6624993099,17.5540013415,18.7943108097,15.1899285972,16.4821474047,17.0868049046,16.9121639334,18.6436980362,20.456974671,19.9349059284,19.3326228276,20.8856314105,21.8106025837,17.8956483004,20.1053371837,22.4326550558,21.5036822022,17.1252933789,17.1253360875,17.1703719234,16.8716827707,16.5911773575
KEN,Kenya,KE,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,11.5095305174,12.2532688787,11.3607783088,11.9951665861,11.1766705277,15.390014628,12.6177983021,13.6765422293,13.6036583885,10.8489665572,11.901570754,10.5307073262,7.1291824122,8.3588194507,6.1656786378,6.6729868805,6.7820342185,7.9382784408,8.0933890448,6.3505487658,12.9594684256,14.3702282647,10.855810885,12.2393214334,13.0376434555,13.9806539637,15.0270776651,17.0749661212,15.676236874,12.7161839907,14.0238656887,14.8381184648,12.0756394264,13.6402211693,13.6684368643,10.2319997613,10.2856997338,11.395707891,11.3890372947,11.1873099459,11.0190751162
KEN,Kenya,KE,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,9.7164146025,7.9388126804,4.1173419672,2.8283369458,3.5608358878,2.7203786769,2.6694482208,3.4639444531,4.5721445736,6.8840243354,5.2423303862,4.4513042029,5.2109752245,4.616083125,8.58906169,9.9861989367,8.3422947231,7.1341702792,9.1329756914,9.3119505442,4.5945329159,4.4240825449,4.3341177122,4.2428259714,4.0491614491,2.9315099697,3.6166203711,3.3820085498,4.2586690544,6.6164388369,6.8617657217,6.9724841189,5.820008874,6.4651160144,8.7642181915,11.2716824409,6.8395936451,5.7296281965,5.7813346287,5.6843728249,5.5721022414
KEN,Kenya,KE,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,20.2574609319,18.6694768011,17.6950385447,17.8096616619,18.6367386744,17.8999704547,18.1461290886,15.0638301039,15.9146522495,16.7282888591,18.4872007609,19.280237712,19.1392049589,29.7965600971,28.2926790772,25.041537863,25.2680135145,22.5703400532,21.028077048,21.3701944045,22.3483882975,22.0754852506,23.6922864182,23.866598392,26.346661953,27.9136208375,22.9974137991,21.9190018355,23.0465433664,20.0326292529,21.6450882727,21.8820794556,18.522085454,19.9251740148,18.2977782138,16.5925462915,14.4978277625,13.8849300088,13.8164812852,13.9523832177,13.8070243175
KEN,Kenya,KE,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,28.3281624984,24.5724983242,20.3351866647,18.1315230173,19.6075679307,18.6154081453,18.0145487194,18.6576295715,19.7634194198,21.8690142642,22.1731120564,20.1768299403,19.0712531574,26.2718035847,25.8909141749,29.561297465,29.0785160989,28.7167154506,27.9754264185,26.6280428438,30.4640636786,33.9421800053,30.5165409721,23.877449767,34.2018490182,-37.008124017,32.2690487155,31.975794605,35.4779473467,30.831012317,33.5555669796,39.2824612811,29.6136309283,33.2072394868,33.0027709855,27.619038829,23.244240669,25.6535695701,25.4060677172,24.3234160204,23.5431904599
